file,ppl,ckpt
llama_answer,14.75625,50
llama_answer,14.91875,250
llama_shuffled,15.0875,200
qwen_shuffled,16.01875,550
qwen_answer,15.99375,150
qwen_shuffled,15.94375,200
llama_shuffled,14.95,550
qwen_shuffled,15.88125,50
llama_shuffled,14.86875,400
qwen_shuffled,16.0,350
llama_answer,15.61875,300
qwen_shuffled,16.0,400
llama_shuffled,14.86875,350
qwen_shuffled,15.9625,150
llama_shuffled,14.93125,600
llama_shuffled,15.3,150
qwen_shuffled,16.0,600
qwen_answer,16.1,200
llama_answer,14.70625,100
llama_answer,14.85625,200
qwen_shuffled,16.0,500
llama_shuffled,14.95,250
qwen_answer,15.88125,100
llama_shuffled,14.7375,50
llama_shuffled,14.93125,500
qwen_shuffled,15.94375,250
qwen_answer,16.15625,300
qwen_shuffled,15.88125,100
llama_shuffled,14.95,100
qwen_answer,16.08125,250
llama_answer,14.74375,150
qwen_shuffled,16.0,300
llama_shuffled,14.85625,450
llama_answer,16.1375,350
qwen_answer,15.9,50
llama_shuffled,14.86875,300
qwen_shuffled,16.0,450
