participant_id,study_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score
SK2,1,5,5,5,5,3
SK2,2,5,5,4,5,4
SK2,3,4,5,5,5,4
SK2,4,5,5,4,5,5
SK2,5,5,5,5,5,3
SK2,6,5,5,5,5,5
SK2,7,5,5,5,5,5
SK2,8,5,5,5,5,5
SK2,9,4,5,5,5,5
SK2,10,4,5,5,5,3
SK2,11,4,5,5,5,5
SK2,12,5,5,5,4,5
SK2,13,5,5,5,5,5
SK2,14,5,5,5,5,5
SK2,15,5,5,5,5,5
SK2,16,5,5,5,4,4
SK2,17,5,5,5,5,4
SK2,18,5,5,5,5,4
SK2,19,5,5,4,5,5
SK2,20,5,5,5,5,4
SK2,21,5,5,4,5,5
SK2,22,5,5,4,4,4
SK2,23,5,5,5,5,4
SK2,24,5,5,5,5,4
SK2,25,5,5,5,5,5
SK2,26,5,5,5,5,4
SK2,27,5,5,5,5,4
SK2,28,5,5,4,5,3
SK2,29,5,5,4,5,5
SK2,30,5,3,4,5,5
YW1,1,3,4,4,4,3
YW1,2,4,5,5,5,4
YW1,3,3,3,4,3,3
YW1,4,4,4,5,5,5
YW1,5,4,5,4,5,3
YW1,6,4,5,5,4,5
YW1,7,3,3,4,3,4
YW1,8,4,5,5,4,5
YW1,9,4,4,5,4,4
YW1,10,4,4,4,3,4
YW1,11,4,5,5,5,4
YW1,12,4,4,5,4,4
YW1,13,3,4,4,4,4
YW1,14,4,5,4,4,3
YW1,15,4,4,5,4,4
YW1,16,4,4,4,4,3
YW1,17,3,3,4,3,3
YW1,18,4,4,5,4,4
YW1,19,4,5,4,5,4
YW1,20,5,5,4,5,3
YW1,21,4,4,4,3,3
YW1,22,3,3,4,3,4
YW1,23,3,4,3,4,3
YW1,24,2,4,4,4,2
YW1,25,4,4,5,4,4
YW1,26,3,4,4,3,3
YW1,27,4,5,4,5,3
YW1,28,4,4,5,4,5
YW1,29,4,4,5,4,4
YW1,30,4,4,5,4,4
ZY3,1,3,3,4,3,2
ZY3,2,2,4,3,5,3
ZY3,3,4,1,3,2,2
ZY3,4,4,4,4,3,3
ZY3,5,1,1,1,1,1
ZY3,6,1,1,1,1,1
ZY3,7,3,1,1,1,1
ZY3,8,4,2,5,2,5
ZY3,9,2,1,2,1,1
ZY3,10,3,3,3,2,1
ZY3,11,1,2,1,2,1
ZY3,12,4,4,3,4,2
ZY3,13,3,1,3,2,1
ZY3,14,5,2,3,3,1
ZY3,15,2,1,1,1,2
ZY3,16,3,1,1,1,1
ZY3,17,1,1,2,2,1
ZY3,18,3,2,2,1,2
ZY3,19,3,3,1,2,1
ZY3,20,4,3,1,2,1
ZY3,21,3,1,4,1,2
ZY3,22,5,2,3,1,2
ZY3,23,4,4,2,3,1
ZY3,24,4,3,2,2,1
ZY3,25,4,3,5,3,4
ZY3,26,1,1,1,2,1
ZY3,27,2,3,3,2,2
ZY3,28,3,3,3,2,3
ZY3,29,2,2,4,1,1
ZY3,30,3,2,2,2,1
